"npc_id","class_name","mesh_name","deco_effect","scale"
"18374","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_r","1.0"
"18375","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_y","1.0"
"18376","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_b","1.0"
"18377","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_r","1.0"
"18378","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_y","1.0"
"18379","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_b","1.0"
"18380","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_r","1.0"
"18381","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_y","1.0"
"18382","LineageMonster.orc_fighter","LineageMonsters.orc_fighter_m00","LineageEffect.u_e_u860_deco_b","1.0"
"18383","LineageMonster2.ketra_orc_chieftain","LineageMonsters2.ketra_orc_chieftain_m00","LineageEffect.u_e_u860_deco_r","1.5"
"18384","LineageMonster2.ketra_orc_chieftain","LineageMonsters2.ketra_orc_chieftain_m00","LineageEffect.u_e_u860_deco_y","1.5"
"18385","LineageMonster2.ketra_orc_chieftain","LineageMonsters2.ketra_orc_chieftain_m00","LineageEffect.u_e_u860_deco_b","1.5"
"18386","LineageMonster7.summon_orc_a","LineageMonsters8.summon_orc_a_m00","LineageEffect.u_e_u860_deco_r","2.0"
"18387","LineageMonster7.summon_orc_a","LineageMonsters8.summon_orc_a_m00","LineageEffect.u_e_u860_deco_y","2.0"
"18388","LineageMonster7.summon_orc_a","LineageMonsters8.summon_orc_a_m00","LineageEffect.u_e_u860_deco_b","2.0"
"18417","LineageMonster2.vampire_soldier","LineageMonsters2.vampire_soldier_m00","LineageEffect.u_e_u860_deco_r","0.6"
"18418","LineageMonster2.vampire_wizard","LineageMonsters2.vampire_wizard_m00","LineageEffect.u_e_u860_deco_r","0.7"
"18419","LineageMonster13.vampire_rogue","LineageMonsters15.vampire_rogue_m00","LineageEffect.u_e_u860_deco_r","0.9"
"18420","LineageMonster13.ep_vampire_wizard","LineageMonsters15.vampire_wizard_m00","LineageEffect.u_e_u860_deco_r","0.7"
"18421","LineageMonster13.vampire_rogue","LineageMonsters15.vampire_rogue_m00","LineageEffect.u_e_u860_deco_r","0.9"
"18422","LineageMonster13.ep_vampire_wizard","LineageMonsters15.vampire_wizard_m00","LineageEffect.u_e_u860_deco_r","0.7"
"18426","LineageNPC.a_mageguild_teacher_Mhuman_dead","LineageNPCs.a_mageguild_teacher_MHuman_m00","LineageEffect2.S_mon_fire_deco","1.2"
"18427","LineageNPC.e_trader_Morc_death","LineageNPCs.e_trader_MOrc_m00","LineageEffect2.S_mon_fire_deco","1.8"
"18482","LineageNpcEV.collision_small","LineageNpcsEV.collision_dummy","LineageEffect2.s_npc_qmark","1.0"
"18485","LineageNPC.camera_target_dummy_a","LineageNpcsEV.n_event_stakato_egg_m00","LineageEffect2.v_doppelganger_trophy_a","1.0"
"18537","LineageMonster4.guard_naia_c","LineageMonsters4.guard_naia_c_m00","LineageEffect2.s_npc_blood_deco","2.1"
"18538","LineageMonster2.barka_silenos_chieftain","LineageMonsters2.barka_silenos_chieftain_m00","LineageEffect2.s_npc_blood_deco","1.3"
"18539","LineageMonster2.barka_silenos_hunter","LineageMonsters2.barka_silenos_hunter_m00","LineageEffect2.s_npc_blood_deco","0.6"
"18540","LineageMonster2.barka_silenos_warrior","LineageMonsters2.barka_silenos_warrior_m00","LineageEffect2.s_npc_blood_deco","0.6"
"18541","LineageMonster2.barka_silenos_priest","LineageMonsters2.barka_silenos_priest_m00","LineageEffect2.s_npc_blood_deco","0.6"
"18542","LineageMonster7.summon_orc_henchmen","LineageMonsters8.summon_orc_henchmen_a_m00","LineageEffect2.s_npc_blood_deco","1.5"
"18543","LineageMonster.ogre","LineageMonsters.ogre_m00","LineageEffect2.s_npc_blood_deco","0.7"
"18544","LineageMonster.twin_headed_giant","LineageMonsters.twin_headed_giant_m00","LineageEffect2.s_npc_blood_deco","0.8"
"18545","LineageMonster.king_bugbear","LineageMonsters.king_bugbear_m00","LineageEffect2.s_npc_blood_deco","0.7"
"18546","LineageMonster7.rakzan_black","LineageMonsters6.rakzan_m00","LineageEffect2.s_npc_blood_deco","1.5"
"18547","LineageMonster7.crakia_karcus_p","LineageMonsters6.crakia_karcus_m00","LineageEffect2.s_npc_blood_deco","0.7"
"18548","LineageMonster7.crakia_rotus_black","LineageMonsters6.crakia_rotus_m00","LineageEffect2.s_npc_blood_deco","1.1"
"18549","LineageMonster7.crakia_batuse_black","LineageMonsters6.crakia_batuse_m00","LineageEffect2.s_npc_blood_deco","1.1"
"18552","LineageMonster4.guard_naia_c","LineageMonsters4.guard_naia_c_m00","LineageEffect2.s_npc_blood_deco","2.1"
"18553","LineageMonster4.guard_naia_c","LineageMonsters4.guard_naia_c_m00","LineageEffect2.s_npc_blood_deco","2.1"
"18654","LineageNPC5.antaras_egg","LineageNPCs5.agathion_earth_egg_m00","LineageEffect2.s_falling_stone_deco","2.4"
"18664","LineageMonster.crimson_doll","LineageMonsters.crimson_doll_m00","LineageEffect2.s_common_deco_b","0.5"
"18665","LineageMonster.shadeless","LineageMonsters.shadeless_m00","LineageEffect2.s_common_deco_b","0.5"
"18666","LineageMonster7.ancient_phantom","LineageMonsters7.ancient_phantom_m00","LineageEffect2.s_common_deco_b","0.8"
"18698","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","1.5"
"18701","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","3.0"
"18708","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","3.0"
"18709","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","3.0"
"18755","LineageMonster.death_lord","LineageMonsters.death_lord_m00","LineageEffect2.s_gyt_sword_sm","1.1"
"18761","LineageMonster12.sp_death_knight","LineageMonsters12.sp_death_knight_m00","LineageEffect2.s_gyt_sword_r","1.5"
"18785","LineageMonster.death_lord","LineageMonsters.death_lord_m00","LineageEffect2.s_gyt_sword_sm","1.1"
"18791","LineageMonster12.sp_death_knight","LineageMonsters12.sp_death_knight_m00","LineageEffect2.s_gyt_sword_r","1.5"
"18810","LineageMonster2.Pet_Tiger_2Step","LineageMonsters2.black_tiger_armor_m00","LineageEffect.d_chaos_match_deco","2.4"
"18813","LineageMonster7.genesis_garden_c_boss","LineageMonsters7.aphros_m00","LineageEffect.w_aphros_purple_deco","1.2"
"18818","LineageMonster9.amden_orc_warrior","LineageMonsters9.amden_orc_warrior_m00","LineageEffect2.h_b_bigorc_deco","1.9"
"18819","LineageMonster2.ketra_orc_chieftain","LineageMonsters2.ketra_orc_chieftain_m00","LineageEffect.u_e_u860_deco_r","1.5"
"18820","LineageMonster2.ketra_orc_chieftain","LineageMonsters2.ketra_orc_chieftain_m00","LineageEffect.u_e_u860_deco_y","1.5"
"18821","LineageMonster2.ketra_orc_chieftain","LineageMonsters2.ketra_orc_chieftain_m00","LineageEffect.u_e_u860_deco_b","1.5"
"18822","LineageMonster7.summon_orc_a","LineageMonsters8.summon_orc_a_m00","LineageEffect.u_e_u860_deco_r","2.0"
"18823","LineageMonster7.summon_orc_a","LineageMonsters8.summon_orc_a_m00","LineageEffect.u_e_u860_deco_y","2.0"
"18824","LineageMonster7.summon_orc_a","LineageMonsters8.summon_orc_a_m00","LineageEffect.u_e_u860_deco_b","2.0"
"18833","LineageMonster.kaim_vanul","LineageMonsters.kaim_vanul_m00","LineageEffect.u_kelbim_deco_dark","2.8"
"18848","LineageNPC.camera_target_dummy_a","LineageNpcsEV.n_event_stakato_egg_m00","LineageEffect2.temple_invisible_deco","1.0"
"18903","LineageMonster5.xel_mahum_warrior","LineageMonsters5.xel_mahum_warrior_m00","LineageEffect2.s_spacia_deco_e","1.6"
"18903","LineageMonster5.xel_mahum_warrior","LineageMonsters5.xel_mahum_warrior_m00","LineageEffect2.weapon_mahum_red","4.6"
"18918","LineageMonster.kaim_vanul","LineageMonsters.kaim_vanul_m00","LineageEffect.u_kelbim_deco_dark","2.8"
"18984","LineageMonster7.genesis_garden_c_boss","LineageMonsters7.aphros_m00","LineageEffect.w_aphros_purple_deco","1.2"
"18986","LineageMonster7.genesis_garden_c_boss","LineageMonsters7.aphros_m00","LineageEffect.w_aphros_purple_deco","1.2"
"19016","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","3.0"
"19022","LineageDeco.azit_b","LineageDecos.azit_b_m00","LineageEffect.u_kelbim_deco_dark","3.5"
"19024","LineageNPC.heart_of_warding","LineageNPCs.heart_of_warding_m00","LineageEffect.u_kelbim_deco_dark","3.5"
"19025","LineageNpcEV.tantar_totem_npc_b","LineageNpcsEV.tantar_NPC_02","LineageEffect.u_kelbim_deco_dark","3.5"
"19096","LineageNPC5.HighElf_Watchman","LineageNPCs5.HighElf_Watchman_m00","LineageEffect2.npc_stand_deco","2.0"
"19117","LineageNPC5.HighElf_Watchman","LineageNPCs5.HighElf_Watchman_m00","LineageEffect2.npc_stand_deco","2.0"
"19120","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snow","1.7"
"19124","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snow","1.7"
"19127","LineageNPC.snow_gourd","LineageNPCs.drop_gourd_m00","LineageEffect.u_event_snowstar","3.0"
"20651","LineageMonster.gamlin","LineageMonsters.gamlin_m00","LineageEffect2.s_mon_patrol_deco","1.0"
"20652","LineageMonster.leogul","LineageMonsters.leogul_m00","LineageEffect2.s_mon_patrol_deco","1.0"
"20800","LineageMonster.field_stalker","LineageMonsters.field_stalker_m00","LineageEffect.d_mon_deco_m","1.0"
"20801","LineageMonster.rakul","LineageMonsters.rakul_m00","LineageEffect.d_mon_deco_m","2.0"
"20802","LineageMonster5.scapegoat","LineageMonsters5.scapegoat_m00","LineageEffect.d_mon_deco_m","1.2"
"20803","LineageMonster.doll_master","LineageMonsters.doll_master_m00","LineageEffect.d_mon_deco_m","1.5"
"20849","LineageMonster.light_worm","LineageMonsters.light_worm_m00","LineageEffect.d_mon_deco_m","0.5"
"20994","LineageMonster4.death_scout_110p","LineageMonsters4.death_scout_m00","LineageEffect.d_mon_deco_m","1.0"
"20995","LineageMonster.theeder","LineageMonsters.theeder_m00","LineageEffect.d_mon_deco_m","1.0"
"21037","LineageMonster.leogul_A","LineageMonsters.leogul_m00","LineageEffect2.s_mon_patrol_deco","1.0"
"21661","LineageMonster.blade_stakato_worker","LineageMonsters.blade_stakato_worker_m00","Lineageeffect.d_mon_deco_dr","1.5"
"21662","LineageMonster.blade_stakato_soldier","LineageMonsters.blade_stakato_soldier_m00","Lineageeffect.d_mon_deco_dr","1.5"
"21663","LineageMonster.blade_stakato_drone","LineageMonsters.blade_stakato_drone_m00","Lineageeffect.d_mon_deco_dr","2.0"
"21664","LineageMonster2.scorpion_20_sm","LineageMonsters2.scorpion_m00","Lineageeffect.d_mon_deco_dr","2.0"
"21665","LineageMonster2.scarab","LineageMonsters2.scarab_m00","Lineageeffect.d_mon_deco_dr","1.2"
"21666","LineageMonster2.tera_beetle","LineageMonsters2.tera_beetle_m00","Lineageeffect.d_mon_deco_dr","2.0"
"21667","LineageMonster.skeleton_knight","LineageMonsters.skeleton_knight_m00","Lineageeffect.d_mon_deco_dr","1.2"
"21668","LineageMonster.skeleton_royal_guard","LineageMonsters.skeleton_royal_guard_m00","Lineageeffect.d_mon_deco_dr","1.2"
"21669","LineageMonster.vale_master_20_bi","LineageMonsters.vale_master_m00","Lineageeffect.d_mon_deco_dr","1.3"
"21670","LineageMonster.stone_golem","LineageMonsters.stone_golem_m00","Lineageeffect.d_mon_deco_dr","2.0"
"21671","LineageMonster2.lava_golem","LineageMonsters2.lava_golem_m00","Lineageeffect.d_mon_deco_dr","2.5"
"21672","LineageMonster2.ahrimanes","LineageMonsters2.ahrimanes_m00","Lineageeffect.d_mon_deco_dr","2.0"
"21773","LineageMonster4.Crystal_Golem","LineageMonsters4.Crystal_Golem_m00","LineageEffect.d_mon_deco_m","2.0"
"21785","LineageMonster13.fury_spirit_toas","LineageMonsters14.fury_spirit_a_toas_m00","LineageEffect.d_mon_deco_w","1.0"
"21786","LineageMonster13.kicu","LineageMonsters13.kicu_m00","LineageEffect.d_mon_deco_w","1.0"
"21787","LineageMonster13.fury_spirit_toas","LineageMonsters14.fury_spirit_a_toas_m00","LineageEffect.d_mon_deco_w","1.0"
"21788","LineageMonster13.fury_spirit_toas","LineageMonsters14.fury_spirit_a_toas_m00","LineageEffect.d_mon_deco_w","1.0"
"21789","LineageMonster13.floato","LineageMonsters13.floato_m00","LineageEffect.d_mon_deco_w","1.0"
"21790","LineageMonster13.cluster_spirit_toas","LineageMonsters14.cluster_spirit_toas_m00","LineageEffect.d_mon_deco_w","2.0"
"21791","LineageMonster13.keeper_spirit_origin_toas","LineageMonsters14.keeper_spirit_origin_toas_m00","LineageEffect.d_mon_deco_w","2.0"
"21792","LineageMonster4.Mostro_Fighter","LineageMonsters4.Mostro_Fighter_m00","LineageEffect.d_mon_deco_w","1.0"
"21793","LineageMonster12.porous","LineageMonsters12.porous_m00","LineageEffect.d_mon_deco_w","1.0"
"21822","LineageMonster2.homunculus_20_sm","LineageMonsters2.homunculus_m00","LineageEffect.d_mon_deco_g","1.3"
"21823","LineageMonster2.bionic_bear","LineageMonsters2.bionic_bear_ec_m00","LineageEffect.d_mon_deco_g","1.5"
"21824","LineageMonster2.parasitic_eye","LineageMonsters2.parasitic_eye_m00","LineageEffect.d_mon_deco_g","2.0"
"21825","LineageMonster2.homunculus","LineageMonsters2.homunculus_m00","LineageEffect.d_mon_deco_g","1.3"
"21826","LineageMonster2.parasitic_eye","LineageMonsters2.parasitic_eye_m00","LineageEffect.d_mon_deco_g","2.0"
"21827","LineageMonster2.bandersnatch","LineageMonsters2.bandersnatch_a_m00","LineageEffect.d_mon_deco_g","1.3"
"21828","LineageMonster2.apostle_warrior","LineageMonsters2.apostle_warrior_m00","LineageEffect.d_mon_deco_g","1.3"
"21829","LineageMonster2.apostle_warrior","LineageMonsters2.apostle_warrior_m00","LineageEffect.d_mon_deco_g","1.3"
"21830","LineageMonster2.apostle_warrior","LineageMonsters2.apostle_warrior_m00","LineageEffect.d_mon_deco_g","1.3"
"21831","LineageMonster2.apostle_mage","LineageMonsters2.apostle_mage_m00","LineageEffect.d_mon_deco_g","2.0"
"21832","LineageMonster2.apostle_mage","LineageMonsters2.apostle_mage_m00","LineageEffect.d_mon_deco_g","2.0"
"22336","LineageMonster10.spa_normal_m","LineageMonsters10.spa_normal_m_m00","LineageEffect.d_hellfire_fire_h","1.0"
"22338","LineageMonster10.spa_engineer","LineageMonsters10.spa_engineer_m00","LineageEffect.d_hellfire_fire_g","1.0"
"22339","LineageMonster10.kunda_a","LineageMonsters10.kunda_a_m00","LineageEffect.d_hellfire_fire_f","2.5"
"22354","LineageMonster7.crakia_batuse_black","LineageMonsters6.crakia_batuse_m00","LineageEffect.w_elec_deco_a","1.0"
"22355","LineageMonster7.crakia_rotus_black","LineageMonsters6.crakia_rotus_m00","LineageEffect.w_elec_deco_c","1.0"
"22355","LineageMonster7.crakia_rotus_black","LineageMonsters6.crakia_rotus_m00","LineageEffect.w_elec_deco_c","1.0"
"22356","LineageMonster7.rakzan_black","LineageMonsters6.rakzan_m00","LineageEffect.w_elec_deco_b","0.83"
"22356","LineageMonster7.rakzan_black","LineageMonsters6.rakzan_m00","LineageEffect.w_elec_deco_b","0.83"
"22370","LineageMonster7.crakia_batuse","LineageMonsters6.crakia_batuse_m00","LineageEffect.w_elec_deco_a","1.0"
"22417","LineageMonster4.floating_skeleton","LineageMonsters4.floating_skeleton_m00","LineageEffect.e_u321_deco","1.0"
"22437","LineageMonster2.parasitic_eye","LineageMonsters2.parasitic_eye_m00","LineageEffect.d_mon_deco_g","2.0"
"22438","LineageMonster2.antelope","LineageMonsters2.antelope_m00","LineageEffect.d_mon_deco_g","1.2"
"22443","LineageMonster2.homunculus","LineageMonsters2.homunculus_m00","LineageEffect.d_mon_deco_g","2.0"
"22444","LineageMonster2.bandersnatch","LineageMonsters2.bandersnatch_a_m00","LineageEffect.d_mon_deco_g","1.3"
"22458","LineageMonster12.ut_rima","LineageMonsters12.ut_rima_m00","Lineageeffect.d_mon_deco_dr","2.0"
"22499","LineageMonster4.lich_A_088p","LineageMonsters4.Lich_A_m00","LineageEffect.e_u328_pot_B","1.2"
"22636","LineageMonster13.archon_of_fort_embryo","LineageMonsters14.archon_of_fort_embryo_m00","LineageEffect.d_mon_blood_deco_b","1.2"
