t_hours,sheetR01,sheetG01,sheetB01,silhouetteR01,silhouetteG01,silhouetteB01
19.733334,1,0.713725,0.556863,0,0,0
19.816668,1,0.713725,0.556863,0,0,0
19.9,1,0.713725,0.556863,0,0,0
19.983334,1,0.713725,0.556863,0,0,0
20.066668,1,0.713725,0.556863,0,0,0
20.15,1,0.713725,0.556863,0,0,0
20.233334,1,0.713725,0.556863,0,0,0
20.316668,1,0.713725,0.556863,0,0,0
20.4,1,0.713725,0.556863,0,0,0
20.483334,1,0.713725,0.556863,0,0,0
20.566668,1,0.713725,0.556863,0,0,0
20.65,1,0.713725,0.556863,0,0,0
20.733334,1,0.713725,0.556863,0,0,0
20.816668,1,0.713725,0.556863,0,0,0
20.9,1,0.713725,0.556863,0,0,0
20.983334,1,0.713725,0.556863,0,0,0
21.066668,1,0.709804,0.552941,0,0,0
21.15,1,0.705882,0.545098,0,0,0
21.233334,1,0.698039,0.541176,0,0,0
21.316668,1,0.694118,0.537255,0,0,0
21.4,1,0.690196,0.533333,0,0,0
21.483334,1,0.686275,0.529412,0,0,0
21.566668,1,0.682353,0.52549,0,0,0
21.65,1,0.678431,0.517647,0,0,0
21.733334,1,0.67451,0.513725,0,0,0
21.816668,1,0.670588,0.509804,0,0,0
21.9,1,0.666667,0.505882,0,0,0
21.983334,1,0.662745,0.501961,0,0,0
22.066668,1,0.65098,0.486275,0.007843,0.007843,0.011765
22.15,1,0.639216,0.47451,0.019608,0.019608,0.031373
22.233334,1,0.631373,0.458824,0.027451,0.035294,0.05098
22.316668,1,0.619608,0.443137,0.039216,0.047059,0.070588
22.4,1,0.607843,0.431373,0.05098,0.058824,0.086275
22.483334,1,0.596078,0.415686,0.062745,0.070588,0.105882
22.566668,1,0.584314,0.4,0.07451,0.086275,0.12549
22.65,1,0.572549,0.384314,0.086275,0.098039,0.145098
22.733334,1,0.564706,0.368627,0.094118,0.109804,0.160784
22.816668,1,0.552941,0.356863,0.105882,0.121569,0.180392
22.9,1,0.541176,0.341176,0.117647,0.137255,0.2
22.983334,1,0.529412,0.32549,0.129412,0.14902,0.219608
23.066668,0.94902,0.513725,0.333333,0.141176,0.160784,0.235294
23.15,0.886275,0.494118,0.341176,0.152941,0.172549,0.254902
23.233334,0.827451,0.47451,0.352941,0.160784,0.188235,0.27451
23.316668,0.764706,0.458824,0.364706,0.172549,0.2,0.294118
23.4,0.705882,0.439216,0.372549,0.184314,0.211765,0.313725
23.4,0.705882,0.439216,0.372549,0.184314,0.211765,0.313725
23.566668,0.584314,0.403922,0.396078,0.207843,0.239216,0.34902
23.65,0.521569,0.384314,0.403922,0.219608,0.25098,0.368627
23.733334,0.458824,0.364706,0.415686,0.227451,0.266667,0.388235
23.816668,0.4,0.34902,0.427451,0.239216,0.278431,0.407843
23.9,0.337255,0.329412,0.435294,0.25098,0.290196,0.427451
24,0.266667,0.309804,0.45098,0.266667,0.309804,0.45098
