step,t_hours,t01,phase,phaseName,envType,skyR,skyG,skyB,sunR,sunG,sunB,actorR,actorG,actorB,skyR01,skyG01,skyB01,sunR01,sunG01,sunB01,actorR01,actorG01,actorB01,skyHex,sunHex,actorHex
11,0.919861,0.038328,3,night,0,41,49,70,0,0,0,83,107,131,0.160784,0.192157,0.27451,0,0,0,0.32549,0.419608,0.513725,#293146,#000000,#536B83
12,1.003484,0.041812,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
13,1.087108,0.045296,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
14,1.170732,0.048781,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
15,1.254355,0.052265,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
16,1.337979,0.055749,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
17,1.421603,0.059233,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
18,1.505227,0.062718,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
19,1.58885,0.066202,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
20,1.672474,0.069686,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
21,1.756098,0.073171,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
22,1.839721,0.076655,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
23,1.923345,0.080139,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
24,2.006968,0.083624,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
25,2.090592,0.087108,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
26,2.174216,0.090592,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
27,2.25784,0.094077,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
28,2.341463,0.097561,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
29,2.425087,0.101045,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
30,2.508711,0.10453,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
31,2.592335,0.108014,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
32,2.675958,0.111498,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
33,2.759582,0.114983,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
34,2.843205,0.118467,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
35,2.926829,0.121951,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
36,3.010453,0.125436,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
37,3.094077,0.12892,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
38,3.1777,0.132404,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
39,3.261324,0.135888,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
40,3.344948,0.139373,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
41,3.428572,0.142857,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
42,3.512195,0.146341,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
43,3.595819,0.149826,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
44,3.679442,0.15331,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
45,3.763066,0.156794,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
46,3.84669,0.160279,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
47,3.930314,0.163763,3,night,0,40,49,70,0,0,0,84,108,131,0.156863,0.192157,0.27451,0,0,0,0.329412,0.423529,0.513725,#283146,#000000,#546C83
48,4.013937,0.167247,3,night,0,40,49,70,0,0,0,84,107,130,0.156863,0.192157,0.27451,0,0,0,0.329412,0.419608,0.509804,#283146,#000000,#546B82
49,4.097561,0.170732,3,night,0,40,49,70,0,0,0,84,107,130,0.156863,0.192157,0.27451,0,0,0,0.329412,0.419608,0.509804,#283146,#000000,#546B82
50,4.181185,0.174216,3,night,0,40,49,70,0,0,0,84,106,129,0.156863,0.192157,0.27451,0,0,0,0.329412,0.415686,0.505882,#283146,#000000,#546A81
51,4.264809,0.1777,3,night,0,40,49,70,0,0,0,84,106,129,0.156863,0.192157,0.27451,0,0,0,0.329412,0.415686,0.505882,#283146,#000000,#546A81
52,4.348432,0.181185,3,night,0,40,49,70,0,0,0,85,105,128,0.156863,0.192157,0.27451,0,0,0,0.333333,0.411765,0.501961,#283146,#000000,#556980
53,4.432055,0.184669,3,night,0,40,49,70,0,0,0,85,105,128,0.156863,0.192157,0.27451,0,0,0,0.333333,0.411765,0.501961,#283146,#000000,#556980
54,4.515679,0.188153,3,night,0,40,49,70,0,0,0,85,104,127,0.156863,0.192157,0.27451,0,0,0,0.333333,0.407843,0.498039,#283146,#000000,#55687F
55,4.599303,0.191638,3,night,0,40,49,70,0,0,0,85,104,127,0.156863,0.192157,0.27451,0,0,0,0.333333,0.407843,0.498039,#283146,#000000,#55687F
56,4.682927,0.195122,3,night,0,40,49,70,0,0,0,86,103,126,0.156863,0.192157,0.27451,0,0,0,0.337255,0.403922,0.494118,#283146,#000000,#56677E
57,4.766551,0.198606,3,night,0,40,49,70,0,0,0,86,103,126,0.156863,0.192157,0.27451,0,0,0,0.337255,0.403922,0.494118,#283146,#000000,#56677E
58,4.850174,0.202091,3,night,0,40,49,70,0,0,0,86,102,125,0.156863,0.192157,0.27451,0,0,0,0.337255,0.4,0.490196,#283146,#000000,#56667D
59,4.933798,0.205575,3,night,0,40,49,70,0,0,0,86,102,125,0.156863,0.192157,0.27451,0,0,0,0.337255,0.4,0.490196,#283146,#000000,#56667D
60,5.017422,0.209059,3,night,0,40,49,71,0,0,0,87,101,124,0.156863,0.192157,0.278431,0,0,0,0.341176,0.396078,0.486275,#283147,#000000,#57657C
61,5.101045,0.212544,3,night,0,44,54,78,0,0,0,87,101,124,0.172549,0.211765,0.305882,0,0,0,0.341176,0.396078,0.486275,#2C364E,#000000,#57657C
62,5.184669,0.216028,3,night,0,47,59,85,0,0,0,87,101,124,0.184314,0.231373,0.333333,0,0,0,0.341176,0.396078,0.486275,#2F3B55,#000000,#57657C
63,5.268292,0.219512,3,night,0,51,63,92,0,0,0,87,100,123,0.2,0.247059,0.360784,0,0,0,0.341176,0.392157,0.482353,#333F5C,#000000,#57647B
64,5.351916,0.222996,3,night,0,55,68,99,0,0,0,88,100,123,0.215686,0.266667,0.388235,0,0,0,0.345098,0.392157,0.482353,#374463,#000000,#58647B
65,5.43554,0.226481,3,night,0,58,72,107,0,0,0,88,99,122,0.227451,0.282353,0.419608,0,0,0,0.345098,0.388235,0.478431,#3A486B,#000000,#58637A
66,5.519164,0.229965,3,night,0,62,77,114,0,0,0,88,99,122,0.243137,0.301961,0.447059,0,0,0,0.345098,0.388235,0.478431,#3E4D72,#000000,#58637A
67,5.602787,0.233449,3,night,0,65,82,121,0,0,0,88,98,121,0.254902,0.321569,0.47451,0,0,0,0.345098,0.384314,0.47451,#415279,#000000,#586279
68,5.686411,0.236934,3,night,0,69,86,128,0,0,0,89,98,121,0.270588,0.337255,0.501961,0,0,0,0.34902,0.384314,0.47451,#455680,#000000,#596279
69,5.770035,0.240418,3,night,0,73,91,135,0,0,0,89,98,121,0.286275,0.356863,0.529412,0,0,0,0.34902,0.384314,0.47451,#495B87,#000000,#596279
70,5.853659,0.243902,3,night,0,76,95,142,0,0,0,89,97,120,0.298039,0.372549,0.556863,0,0,0,0.34902,0.380392,0.470588,#4C5F8E,#000000,#596178
71,5.937282,0.247387,3,night,0,80,100,149,0,0,0,89,97,120,0.313725,0.392157,0.584314,0,0,0,0.34902,0.380392,0.470588,#506495,#000000,#596178
72,6.020906,0.250871,0,morning,0,83,105,156,255,123,24,90,97,119,0.32549,0.411765,0.611765,1,0.482353,0.094118,0.352941,0.380392,0.466667,#53699C,#FF7B18,#5A6177
73,6.104529,0.254355,0,morning,0,87,109,163,255,127,29,91,97,117,0.341176,0.427451,0.639216,1,0.498039,0.113725,0.356863,0.380392,0.458824,#576DA3,#FF7F1D,#5B6175
74,6.188153,0.25784,0,morning,0,91,114,171,255,131,35,91,97,116,0.356863,0.447059,0.670588,1,0.513725,0.137255,0.356863,0.380392,0.454902,#5B72AB,#FF8323,#5B6174
75,6.271777,0.261324,0,morning,0,94,118,178,255,135,40,92,97,114,0.368627,0.462745,0.698039,1,0.529412,0.156863,0.360784,0.380392,0.447059,#5E76B2,#FF8728,#5C6172
76,6.355401,0.264808,0,morning,0,98,123,185,255,139,45,93,98,112,0.384314,0.482353,0.72549,1,0.545098,0.176471,0.364706,0.384314,0.439216,#627BB9,#FF8B2D,#5D6270
77,6.439025,0.268293,0,morning,0,101,127,192,255,143,51,94,98,111,0.396078,0.498039,0.752941,1,0.560784,0.2,0.368627,0.384314,0.435294,#657FC0,#FF8F33,#5E626F
78,6.522648,0.271777,0,morning,0,105,132,199,255,147,56,95,98,109,0.411765,0.517647,0.780392,1,0.576471,0.219608,0.372549,0.384314,0.427451,#6984C7,#FF9338,#5F626D
79,6.606272,0.275261,0,morning,0,109,136,207,255,151,61,96,98,107,0.427451,0.533333,0.811765,1,0.592157,0.239216,0.376471,0.384314,0.419608,#6D88CF,#FF973D,#60626B
80,6.689896,0.278746,0,morning,0,112,141,214,255,155,67,96,99,106,0.439216,0.552941,0.839216,1,0.607843,0.262745,0.376471,0.388235,0.415686,#708DD6,#FF9B43,#60636A
81,6.773519,0.28223,0,morning,0,116,145,221,255,159,72,97,99,104,0.454902,0.568627,0.866667,1,0.623529,0.282353,0.380392,0.388235,0.407843,#7491DD,#FF9F48,#616368
82,6.857143,0.285714,0,morning,0,119,150,228,255,163,77,98,99,102,0.466667,0.588235,0.894118,1,0.639216,0.301961,0.384314,0.388235,0.4,#7796E4,#FFA34D,#626366
83,6.940766,0.289199,0,morning,0,123,154,235,255,167,83,99,99,101,0.482353,0.603922,0.921569,1,0.654902,0.32549,0.388235,0.388235,0.396078,#7B9AEB,#FFA753,#636365
84,7.02439,0.292683,0,morning,0,126,158,241,255,171,88,100,100,100,0.494118,0.619608,0.945098,1,0.670588,0.345098,0.392157,0.392157,0.392157,#7E9EF1,#FFAB58,#646464
85,7.108014,0.296167,0,morning,0,126,158,241,255,175,93,100,100,100,0.494118,0.619608,0.945098,1,0.686275,0.364706,0.392157,0.392157,0.392157,#7E9EF1,#FFAF5D,#646464
86,7.191638,0.299652,0,morning,0,126,158,241,255,179,99,100,100,100,0.494118,0.619608,0.945098,1,0.701961,0.388235,0.392157,0.392157,0.392157,#7E9EF1,#FFB363,#646464
87,7.275262,0.303136,0,morning,0,126,158,241,255,183,104,100,100,100,0.494118,0.619608,0.945098,1,0.717647,0.407843,0.392157,0.392157,0.392157,#7E9EF1,#FFB768,#646464
88,7.358885,0.30662,0,morning,0,126,158,241,255,187,109,100,100,100,0.494118,0.619608,0.945098,1,0.733333,0.427451,0.392157,0.392157,0.392157,#7E9EF1,#FFBB6D,#646464
89,7.442509,0.310105,0,morning,0,126,158,241,255,191,115,100,100,100,0.494118,0.619608,0.945098,1,0.74902,0.45098,0.392157,0.392157,0.392157,#7E9EF1,#FFBF73,#646464
90,7.526133,0.313589,0,morning,0,126,158,241,255,196,120,100,100,100,0.494118,0.619608,0.945098,1,0.768627,0.470588,0.392157,0.392157,0.392157,#7E9EF1,#FFC478,#646464
91,7.609756,0.317073,0,morning,0,126,158,241,255,200,126,100,100,100,0.494118,0.619608,0.945098,1,0.784314,0.494118,0.392157,0.392157,0.392157,#7E9EF1,#FFC87E,#646464
92,7.69338,0.320558,0,morning,0,126,158,241,255,204,131,100,100,100,0.494118,0.619608,0.945098,1,0.8,0.513725,0.392157,0.392157,0.392157,#7E9EF1,#FFCC83,#646464
93,7.777003,0.324042,0,morning,0,126,158,241,255,208,136,100,100,100,0.494118,0.619608,0.945098,1,0.815686,0.533333,0.392157,0.392157,0.392157,#7E9EF1,#FFD088,#646464
94,7.860627,0.327526,0,morning,0,126,158,241,255,212,142,100,100,100,0.494118,0.619608,0.945098,1,0.831373,0.556863,0.392157,0.392157,0.392157,#7E9EF1,#FFD48E,#646464
95,7.944251,0.33101,0,morning,0,126,158,241,255,216,147,100,100,100,0.494118,0.619608,0.945098,1,0.847059,0.576471,0.392157,0.392157,0.392157,#7E9EF1,#FFD893,#646464
96,8.027874,0.334495,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
97,8.111499,0.337979,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
98,8.195122,0.341463,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
99,8.278746,0.344948,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
100,8.36237,0.348432,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
101,8.445993,0.351916,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
102,8.529617,0.355401,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
103,8.61324,0.358885,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
104,8.696864,0.362369,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
105,8.780488,0.365854,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
106,8.864111,0.369338,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
107,8.947736,0.372822,1,day,0,126,158,241,255,219,151,100,100,100,0.494118,0.619608,0.945098,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7E9EF1,#FFDB97,#646464
108,9.031359,0.376307,1,day,0,124,157,239,255,219,151,100,100,100,0.486275,0.615686,0.937255,1,0.858824,0.592157,0.392157,0.392157,0.392157,#7C9DEF,#FFDB97,#646464
109,9.114983,0.379791,1,day,0,120,156,236,255,219,151,102,102,102,0.470588,0.611765,0.92549,1,0.858824,0.592157,0.4,0.4,0.4,#789CEC,#FFDB97,#666666
110,9.198606,0.383275,1,day,0,117,155,234,255,219,151,103,103,103,0.458824,0.607843,0.917647,1,0.858824,0.592157,0.403922,0.403922,0.403922,#759BEA,#FFDB97,#676767
111,9.28223,0.38676,1,day,0,113,154,231,255,219,151,105,105,105,0.443137,0.603922,0.905882,1,0.858824,0.592157,0.411765,0.411765,0.411765,#719AE7,#FFDB97,#696969
112,9.365853,0.390244,1,day,0,109,153,228,255,219,151,107,107,107,0.427451,0.6,0.894118,1,0.858824,0.592157,0.419608,0.419608,0.419608,#6D99E4,#FFDB97,#6B6B6B
113,9.449477,0.393728,1,day,0,105,153,225,255,219,151,108,108,108,0.411765,0.6,0.882353,1,0.858824,0.592157,0.423529,0.423529,0.423529,#6999E1,#FFDB97,#6C6C6C
114,9.533101,0.397213,1,day,0,102,152,222,255,219,151,110,110,110,0.4,0.596078,0.870588,1,0.858824,0.592157,0.431373,0.431373,0.431373,#6698DE,#FFDB97,#6E6E6E
115,9.616725,0.400697,1,day,0,98,151,219,255,219,151,112,112,112,0.384314,0.592157,0.858824,1,0.858824,0.592157,0.439216,0.439216,0.439216,#6297DB,#FFDB97,#707070
116,9.700348,0.404181,1,day,0,94,150,216,255,219,151,114,114,114,0.368627,0.588235,0.847059,1,0.858824,0.592157,0.447059,0.447059,0.447059,#5E96D8,#FFDB97,#727272
117,9.783972,0.407666,1,day,0,90,149,213,255,219,151,115,115,115,0.352941,0.584314,0.835294,1,0.858824,0.592157,0.45098,0.45098,0.45098,#5A95D5,#FFDB97,#737373
118,9.867596,0.41115,1,day,0,86,148,210,255,219,151,117,117,117,0.337255,0.580392,0.823529,1,0.858824,0.592157,0.458824,0.458824,0.458824,#5694D2,#FFDB97,#757575
119,9.95122,0.414634,1,day,0,83,147,207,255,219,151,119,119,119,0.32549,0.576471,0.811765,1,0.858824,0.592157,0.466667,0.466667,0.466667,#5393CF,#FFDB97,#777777
120,10.034843,0.418118,1,day,0,80,146,204,255,219,151,121,121,121,0.313725,0.572549,0.8,1,0.858824,0.592157,0.47451,0.47451,0.47451,#5092CC,#FFDB97,#797979
121,10.118467,0.421603,1,day,0,79,144,202,255,219,151,123,123,123,0.309804,0.564706,0.792157,1,0.858824,0.592157,0.482353,0.482353,0.482353,#4F90CA,#FFDB97,#7B7B7B
122,10.20209,0.425087,1,day,0,77,142,199,255,219,151,126,126,126,0.301961,0.556863,0.780392,1,0.858824,0.592157,0.494118,0.494118,0.494118,#4D8EC7,#FFDB97,#7E7E7E
123,10.285714,0.428571,1,day,0,76,140,197,255,219,151,128,128,128,0.298039,0.54902,0.772549,1,0.858824,0.592157,0.501961,0.501961,0.501961,#4C8CC5,#FFDB97,#808080
124,10.369338,0.432056,1,day,0,75,138,194,255,219,151,131,131,131,0.294118,0.541176,0.760784,1,0.858824,0.592157,0.513725,0.513725,0.513725,#4B8AC2,#FFDB97,#838383
125,10.452962,0.43554,1,day,0,74,136,192,255,219,151,133,133,133,0.290196,0.533333,0.752941,1,0.858824,0.592157,0.521569,0.521569,0.521569,#4A88C0,#FFDB97,#858585
126,10.536585,0.439024,1,day,0,72,134,189,255,219,151,136,136,136,0.282353,0.52549,0.741176,1,0.858824,0.592157,0.533333,0.533333,0.533333,#4886BD,#FFDB97,#888888
127,10.620209,0.442509,1,day,0,71,132,187,255,219,151,138,138,138,0.278431,0.517647,0.733333,1,0.858824,0.592157,0.541176,0.541176,0.541176,#4784BB,#FFDB97,#8A8A8A
128,10.703833,0.445993,1,day,0,70,130,184,255,219,151,141,141,141,0.27451,0.509804,0.721569,1,0.858824,0.592157,0.552941,0.552941,0.552941,#4682B8,#FFDB97,#8D8D8D
129,10.787457,0.449477,1,day,0,69,128,182,255,219,151,143,143,143,0.270588,0.501961,0.713725,1,0.858824,0.592157,0.560784,0.560784,0.560784,#4580B6,#FFDB97,#8F8F8F
130,10.87108,0.452962,1,day,0,67,126,179,255,219,151,146,146,146,0.262745,0.494118,0.701961,1,0.858824,0.592157,0.572549,0.572549,0.572549,#437EB3,#FFDB97,#929292
131,10.954704,0.456446,1,day,0,66,125,177,255,219,151,148,148,148,0.258824,0.490196,0.694118,1,0.858824,0.592157,0.580392,0.580392,0.580392,#427DB1,#FFDB97,#949494
132,11.038327,0.45993,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
133,11.121951,0.463415,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
134,11.205575,0.466899,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
135,11.289199,0.470383,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
136,11.372822,0.473868,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
137,11.456446,0.477352,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
138,11.54007,0.480836,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
139,11.623693,0.484321,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
140,11.707317,0.487805,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
141,11.790941,0.491289,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
142,11.874564,0.494774,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
143,11.958188,0.498258,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
144,12.041813,0.501742,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
145,12.125436,0.505226,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
146,12.209059,0.508711,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
147,12.292683,0.512195,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
148,12.376307,0.515679,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
149,12.45993,0.519164,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
150,12.543554,0.522648,1,day,0,66,124,176,255,219,151,150,150,150,0.258824,0.486275,0.690196,1,0.858824,0.592157,0.588235,0.588235,0.588235,#427CB0,#FFDB97,#969696
