step,t_hours,phase,isDay,sunDirX,sunDirY,sunDirZ,sunElevDeg,sunAzimDeg,moonDirX,moonDirY,moonDirZ,moonElevDeg,moonAzimDeg,sunCacheX,sunCacheY,sunCacheZ,moonCacheX,moonCacheY,moonCacheZ,sunLocX,sunLocY,sunLocZ,moonLocX,moonLocY,moonLocZ,sunDrawScale,moonDrawScale,sunScale,moonScale,sunModA,sunModB,sunModC,moonModA,moonModB,moonModC,moonR,moonG,moonB,moonHex,slopeSunAngle,azimuth,dramaticDiffuse
17,1.421603,3,0,0.735529,-0.338672,0.586770,35.928,-24.724,-0.737277,0.337720,-0.585122,-35.812,155.389,0.000000,-0.499889,0.866089,-0.737277,0.337720,-0.585122,324.684,264610.312,24232.900,505.317,264352.594,24679.387,16.000000,3.791667,0.000000,3.789199,-3.141593,3.141593,0.000000,-0.826447,3.141593,0.000000,255,133,58,#FF853A,30.000000,180.000000,0.000000
18,1.505227,3,0,0.705169,-0.354441,0.614091,37.886,-26.686,-0.707107,0.353475,-0.612418,-37.765,153.440,0.000000,-0.499889,0.866089,-0.707107,0.353475,-0.612418,324.684,264610.312,24232.900,497.925,264348.750,24686.074,16.000000,3.750000,0.000000,3.747387,-3.141593,3.141593,0.000000,-0.782662,3.141593,0.000000,255,131,53,#FF8335,30.000000,180.000000,0.000000
19,1.588850,3,0,0.673458,-0.369531,0.640236,39.809,-28.754,-0.675590,0.368557,-0.638548,-39.684,151.386,0.000000,-0.499889,0.866089,-0.675590,0.368557,-0.638548,324.684,264610.312,24232.900,490.203,264345.062,24692.475,16.000000,3.708333,0.000000,3.705575,-3.141593,3.141593,0.000000,-0.738876,3.141593,0.000000,255,128,47,#FF802F,30.000000,180.000000,0.000000
20,1.672474,3,0,0.640455,-0.383913,0.665153,41.694,-30.940,-0.642788,0.382937,-0.663463,-41.565,149.216,0.000000,-0.499889,0.866089,-0.642788,0.382937,-0.663463,324.684,264610.312,24232.900,482.167,264341.531,24698.580,16.000000,3.666667,0.000000,3.663763,-3.141593,3.141593,0.000000,-0.695091,3.141593,0.000000,255,125,42,#FF7D2A,30.000000,180.000000,0.000000
21,1.756098,3,0,0.606225,-0.397558,0.688795,43.535,-33.257,-0.608761,0.396589,-0.687115,-43.402,146.917,0.000000,-0.499889,0.866089,-0.608761,0.396589,-0.687115,324.684,264610.312,24232.900,473.830,264338.188,24704.375,16.000000,3.625000,0.000000,3.621951,-3.141593,3.141593,0.000000,-0.651306,3.141593,0.000000,255,122,36,#FF7A24,30.000000,180.000000,0.000000
22,1.839721,3,0,0.570833,-0.410442,0.711116,45.326,-35.717,-0.573577,0.409485,-0.709459,-45.191,144.476,0.000000,-0.499889,0.866089,-0.573577,0.409485,-0.709459,324.684,264610.312,24232.900,465.210,264335.031,24709.850,16.000000,3.583333,0.000000,3.580139,-3.141593,3.141593,0.000000,-0.607521,3.141593,0.000000,255,120,31,#FF781F,30.000000,180.000000,0.000000
23,1.923345,3,0,0.534347,-0.422539,0.732075,47.061,-38.335,-0.537300,0.421602,-0.730452,-46.924,141.880,0.000000,-0.499889,0.866089,-0.537300,0.421602,-0.730452,324.684,264610.312,24232.900,456.322,264332.062,24714.992,16.000000,3.541667,0.000000,3.538327,-3.141593,3.141593,0.000000,-0.563735,3.141593,0.000000,255,117,25,#FF7519,30.000000,180.000000,0.000000
24,2.006968,3,0,0.496837,-0.433826,0.751630,48.732,-41.127,-0.500000,0.432917,-0.750055,-48.595,139.113,0.000000,-0.499889,0.866089,-0.500000,0.432917,-0.750055,324.684,264610.312,24232.900,447.184,264329.281,24719.795,16.000000,3.500000,0.000000,3.493032,-3.141593,3.141593,0.000000,-0.519950,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
25,2.090592,3,0,0.458374,-0.444281,0.769745,50.331,-44.106,-0.461749,0.443407,-0.768231,-50.195,136.161,0.000000,-0.499889,0.866089,-0.461749,0.443407,-0.768231,324.684,264610.312,24232.900,437.812,264326.719,24724.248,16.000000,3.416667,0.000000,3.409408,-3.141593,3.141593,0.000000,-0.476165,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
26,2.174216,3,0,0.419033,-0.453885,0.786384,51.849,-47.286,-0.422618,0.453054,-0.784943,-51.715,133.009,0.000000,-0.499889,0.866089,-0.422618,0.453054,-0.784943,324.684,264610.312,24232.900,428.225,264324.344,24728.342,16.000000,3.333333,0.000000,3.325784,-3.141593,3.141593,0.000000,-0.432379,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
27,2.257840,3,0,0.378888,-0.462619,0.801516,53.275,-50.682,-0.382684,0.461837,-0.800162,-53.146,129.646,0.000000,-0.499889,0.866089,-0.382684,0.461837,-0.800162,228.203,264514.125,24135.889,321.960,264226.000,24635.059,16.000000,3.250000,0.000000,3.242160,-3.141593,3.141593,0.000000,-0.388594,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
28,2.341463,3,0,0.338017,-0.470466,0.815111,54.598,-54.304,-0.342020,0.469742,-0.813858,-54.475,126.058,0.000000,-0.499889,0.866089,-0.342020,0.469742,-0.813858,324.684,264610.312,24232.900,408.479,264320.250,24735.426,16.000000,3.166667,0.000000,3.158537,-3.141593,3.141593,0.000000,-0.344809,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
29,2.425087,3,0,0.296498,-0.477411,0.827144,55.806,-58.157,-0.300706,0.476753,-0.826004,-55.690,122.241,0.000000,-0.499889,0.866089,-0.300706,0.476753,-0.826004,324.684,264610.312,24232.900,398.357,264318.531,24738.402,16.000000,3.083333,0.000000,3.074913,-3.141593,3.141593,0.000000,-0.301024,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
30,2.508711,3,0,0.254411,-0.483441,0.837592,56.887,-62.244,-0.258819,0.482856,-0.836578,-56.781,118.192,0.000000,-0.499889,0.866089,-0.258819,0.482856,-0.836578,324.684,264610.312,24232.900,388.094,264317.031,24740.992,16.000000,3.000000,0.000000,2.991289,-3.141593,3.141593,0.000000,-0.257238,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
31,2.592335,3,0,0.211836,-0.488544,0.846434,57.826,-66.558,-0.216440,0.488040,-0.845560,-57.732,113.917,0.000000,-0.499889,0.866089,-0.216440,0.488040,-0.845560,324.684,264610.312,24232.900,377.711,264315.781,24743.193,16.000000,2.916667,0.000000,2.907665,-3.141593,3.141593,0.000000,-0.213453,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
32,2.675958,3,0,0.168855,-0.492711,0.853653,58.611,-71.083,-0.173648,0.492295,-0.852931,-58.532,109.429,0.000000,-0.499889,0.866089,-0.173648,0.492295,-0.852931,324.684,264610.312,24232.900,367.227,264314.719,24745.000,16.000000,2.833333,0.000000,2.824042,-3.141593,3.141593,0.000000,-0.169668,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
33,2.759582,3,0,0.125550,-0.495934,0.859236,59.231,-75.793,-0.130526,0.495613,-0.858680,-59.169,104.755,0.000000,-0.499889,0.866089,-0.130526,0.495613,-0.858680,324.684,264610.312,24232.900,356.663,264313.906,24746.408,16.000000,2.750000,0.000000,2.740418,-3.141593,3.141593,0.000000,-0.125883,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
34,2.843205,3,0,0.082005,-0.498206,0.863172,59.675,-80.653,-0.087156,0.497987,-0.862794,-59.632,99.927,0.000000,-0.499889,0.866089,-0.087156,0.497987,-0.862794,324.684,264610.312,24232.900,346.037,264313.344,24747.416,16.000000,2.666667,0.000000,2.656795,-3.141593,3.141593,0.000000,-0.082097,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
35,2.926829,3,0,0.038303,-0.499522,0.865454,59.935,-85.615,-0.043619,0.499414,-0.865265,-59.913,94.992,0.000000,-0.499889,0.866089,-0.043619,0.499414,-0.865265,324.684,264610.312,24232.900,335.370,264313.000,24748.021,16.000000,2.583333,0.000000,2.573171,-3.141593,3.141593,0.000000,-0.038312,3.141593,0.000000,255,115,21,#FF7315,30.000000,180.000000,0.000000
36,3.010453,3,0,-0.005473,-0.499882,0.866076,60.006,-90.627,-0.000000,0.499889,-0.866089,-60.007,90.000,0.000000,-0.499889,0.866089,-0.000000,0.499889,-0.866089,324.684,264610.312,24232.900,324.684,264312.875,24748.223,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.005473,3.141593,0.000000,254,115,21,#FE7315,30.000000,180.000000,0.000000
37,3.094077,3,0,-0.049239,-0.499283,0.865039,59.887,-95.632,0.043619,0.499414,-0.865265,-59.913,85.008,0.000000,-0.499889,0.866089,0.043619,0.499414,-0.865265,324.684,264610.312,24232.900,313.997,264313.000,24748.021,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.049258,3.141593,0.000000,250,119,25,#FA7719,30.000000,180.000000,0.000000
38,3.177700,3,0,-0.092909,-0.497727,0.862343,59.581,-100.574,0.087156,0.497987,-0.862794,-59.632,80.073,0.000000,-0.499889,0.866089,0.087156,0.497987,-0.862794,324.684,264610.312,24232.900,303.330,264313.344,24747.416,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.093044,3.141593,0.000000,246,122,29,#F67A1D,30.000000,180.000000,0.000000
39,3.261324,3,0,-0.136402,-0.495217,0.857994,59.092,-105.400,0.130526,0.495613,-0.858680,-59.169,75.245,0.000000,-0.499889,0.866089,0.130526,0.495613,-0.858680,324.684,264610.312,24232.900,292.705,264313.906,24746.408,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.136829,3.141593,0.000000,241,126,34,#F17E22,30.000000,180.000000,0.000000
40,3.344948,3,0,-0.179634,-0.491758,0.852001,58.430,-110.067,0.173648,0.492295,-0.852931,-58.532,70.571,0.000000,-0.499889,0.866089,0.173648,0.492295,-0.852931,324.684,264610.312,24232.900,282.140,264314.719,24745.000,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.180614,3.141593,0.000000,237,129,38,#ED8126,30.000000,180.000000,0.000000
41,3.428572,3,0,-0.222521,-0.487356,0.844375,57.605,-114.541,0.216440,0.488040,-0.845559,-57.732,66.083,0.000000,-0.499889,0.866089,0.216440,0.488040,-0.845559,324.684,264610.312,24232.900,271.656,264315.781,24743.193,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.224400,3.141593,0.000000,233,133,42,#E9852A,30.000000,180.000000,0.000000
42,3.512195,3,0,-0.264982,-0.482020,0.835130,56.629,-118.799,0.258819,0.482856,-0.836578,-56.781,61.808,0.000000,-0.499889,0.866089,0.258819,0.482856,-0.836578,324.684,264610.312,24232.900,261.273,264317.031,24740.992,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.268185,3.141593,0.000000,229,137,46,#E5892E,30.000000,180.000000,0.000000
43,3.595819,3,0,-0.306934,-0.475760,0.824284,55.516,-122.828,0.300706,0.476753,-0.826004,-55.690,57.759,0.000000,-0.499889,0.866089,0.300706,0.476753,-0.826004,324.684,264610.312,24232.900,251.011,264318.531,24738.402,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.311970,3.141593,0.000000,225,140,50,#E18C32,30.000000,180.000000,0.000000
44,3.679442,3,0,-0.348298,-0.468588,0.811858,54.278,-126.623,0.342020,0.469742,-0.813858,-54.475,53.942,0.000000,-0.499889,0.866089,0.342020,0.469742,-0.813858,324.684,264610.312,24232.900,240.889,264320.250,24735.426,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.355755,3.141593,0.000000,221,144,54,#DD9036,30.000000,180.000000,0.000000
45,3.763066,3,0,-0.388995,-0.460518,0.797876,52.928,-130.187,0.382684,0.461838,-0.800162,-53.146,50.354,0.000000,-0.499889,0.866089,0.382684,0.461838,-0.800162,324.684,264610.312,24232.900,230.926,264322.188,24732.070,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.399541,3.141593,0.000000,216,147,59,#D8933B,30.000000,180.000000,0.000000
46,3.846690,3,0,-0.428946,-0.451565,0.782365,51.478,-133.528,0.422618,0.453054,-0.784943,-51.715,46.991,0.000000,-0.499889,0.866089,0.422618,0.453054,-0.784943,324.684,264610.312,24232.900,221.142,264324.344,24728.342,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.443326,3.141593,0.000000,212,151,63,#D4973F,30.000000,180.000000,0.000000
47,3.930314,3,0,-0.468075,-0.441747,0.765354,49.938,-136.658,0.461749,0.443407,-0.768231,-50.195,43.839,0.000000,-0.499889,0.866089,0.461749,0.443407,-0.768231,324.684,264610.312,24232.900,211.555,264326.719,24724.248,16.000000,2.500000,0.000000,2.500000,-3.141593,3.141593,0.000000,0.487111,3.141593,0.000000,208,155,67,#D09B43,30.000000,180.000000,0.000000
48,4.013937,3,0,-0.506306,-0.431081,0.746875,48.320,-139.588,0.500000,0.432917,-0.750055,-48.595,40.887,0.000000,-0.499889,0.866089,0.500000,0.432917,-0.750055,324.684,264610.312,24232.900,202.184,264329.281,24719.795,16.000000,2.500000,0.000000,2.503484,-3.141593,3.141593,0.000000,0.530896,3.141593,0.000000,204,157,70,#CC9D46,30.000000,180.000000,0.000000
49,4.097561,3,0,-0.543568,-0.419590,0.726965,46.633,-142.335,0.537300,0.421602,-0.730452,-46.924,38.120,0.000000,-0.499889,0.866089,0.537300,0.421602,-0.730452,324.684,264610.312,24232.900,193.045,264332.062,24714.992,16.000000,2.520833,0.000000,2.524390,-3.141593,3.141593,0.000000,0.574682,3.141593,0.000000,202,153,67,#CA9943,30.000000,180.000000,0.000000
50,4.181185,3,0,-0.579787,-0.407294,0.705662,44.883,-144.912,0.573577,0.409485,-0.709459,-45.191,35.524,0.000000,-0.499889,0.866089,0.573577,0.409485,-0.709459,228.203,264514.125,24135.889,87.677,264238.844,24612.838,16.000000,2.541667,0.000000,2.545296,-3.141593,3.141593,0.000000,0.618467,3.141593,0.000000,201,149,64,#C99540,30.000000,180.000000,0.000000
51,4.264809,3,0,-0.614895,-0.394217,0.683006,43.079,-147.336,0.608761,0.396589,-0.687115,-43.402,33.083,0.000000,-0.499889,0.866089,0.608761,0.396589,-0.687115,324.684,264610.312,24232.900,175.537,264338.188,24704.375,16.000000,2.562500,0.000000,2.566202,-3.141593,3.141593,0.000000,0.662252,3.141593,0.000000,199,145,61,#C7913D,30.000000,180.000000,0.000000
52,4.348432,3,0,-0.648824,-0.380385,0.659041,41.227,-149.618,0.642788,0.382937,-0.663463,-41.564,30.784,0.000000,-0.499889,0.866089,0.642788,0.382937,-0.663463,324.684,264610.312,24232.900,167.201,264341.531,24698.580,16.000000,2.583333,0.000000,2.587108,-3.141593,3.141593,0.000000,0.706037,3.141593,0.000000,197,141,58,#C58D3A,30.000000,180.000000,0.000000
53,4.432055,3,0,-0.681509,-0.365824,0.633813,39.332,-151.774,0.675590,0.368557,-0.638548,-39.684,28.614,0.000000,-0.499889,0.866089,0.675590,0.368557,-0.638548,324.684,264610.312,24232.900,159.164,264345.062,24692.475,16.000000,2.604167,0.000000,2.608014,-3.141593,3.141593,0.000000,0.749822,3.141593,0.000000,195,137,55,#C38937,30.000000,180.000000,0.000000
54,4.515679,3,0,-0.712888,-0.350561,0.607369,37.400,-153.814,0.707107,0.353475,-0.612418,-37.765,26.560,0.000000,-0.499889,0.866089,0.707107,0.353475,-0.612418,324.684,264610.312,24232.900,151.442,264348.750,24686.074,16.000000,2.625000,0.000000,2.628920,-3.141593,3.141593,0.000000,0.793608,3.141593,0.000000,193,134,52,#C18634,30.000000,180.000000,0.000000
55,4.599303,3,0,-0.742901,-0.334627,0.579762,35.434,-155.752,0.737277,0.337720,-0.585121,-35.812,24.611,0.000000,-0.499889,0.866089,0.737277,0.337720,-0.585121,324.684,264610.312,24232.900,144.051,264352.594,24679.387,16.000000,2.645833,0.000000,2.649826,-3.141593,3.141593,0.000000,0.837393,3.141593,0.000000,192,130,49,#C08231,30.000000,180.000000,0.000000
56,4.682927,3,0,-0.771489,-0.318051,0.551043,33.439,-157.596,0.766044,0.321323,-0.556711,-33.829,22.756,0.000000,-0.499889,0.866089,0.766044,0.321323,-0.556711,324.684,264610.312,24232.900,137.003,264356.625,24672.426,16.000000,2.666667,0.000000,2.670732,-3.141593,3.141593,0.000000,0.881178,3.141593,0.000000,190,126,46,#BE7E2E,30.000000,180.000000,0.000000
57,4.766551,3,0,-0.798599,-0.300865,0.521267,31.417,-159.357,0.793353,0.304313,-0.527242,-31.819,20.986,0.000000,-0.499889,0.866089,0.793353,0.304313,-0.527242,324.684,264610.312,24232.900,130.312,264360.781,24665.205,16.000000,2.687500,0.000000,2.691638,-3.141593,3.141593,0.000000,0.924964,3.141593,0.000000,188,122,43,#BC7A2B,30.000000,180.000000,0.000000
58,4.850174,3,0,-0.824178,-0.283103,0.490493,29.373,-161.043,0.824126,0.283140,-0.490558,-29.377,18.961,0.000000,-0.499889,0.866089,0.824126,0.283140,-0.490558,324.684,264610.312,24232.900,122.773,264365.969,24656.219,16.000000,2.712500,0.000000,2.712543,-3.141593,3.141593,0.000000,0.968749,3.141593,0.000000,186,118,40,#BA7628,30.000000,180.000000,0.000000
59,4.933798,3,0,-0.848177,-0.264798,0.458779,27.308,-162.662,0.848048,0.264901,-0.458957,-27.320,17.347,0.000000,-0.499889,0.866089,0.848048,0.264901,-0.458957,324.684,264610.312,24232.900,116.912,264370.438,24648.477,16.000000,2.733333,0.000000,2.733449,-3.141593,3.141593,0.000000,1.012534,3.141593,0.000000,184,114,37,#B87225,30.000000,180.000000,0.000000
60,5.017422,3,0,-0.870550,-0.245985,0.426185,25.226,-164.222,0.870356,0.246157,-0.426483,-25.245,15.792,-0.985309,-0.085373,0.147913,0.870356,0.246157,-0.426483,573.061,264369.031,24387.250,14.966,264278.844,24543.508,16.000000,2.754167,0.000000,2.754355,-1.742289,3.141593,0.000000,1.056320,3.141593,0.000000,183,110,34,#B76E22,30.000000,180.000000,0.000000
61,5.101045,3,0,-0.891255,-0.226701,0.392774,23.127,-165.729,0.891007,0.226945,-0.393196,-23.154,14.290,-0.987688,-0.078200,0.135486,0.891007,0.226945,-0.393196,670.375,264462.719,24488.611,106.387,264379.750,24632.365,16.000000,2.775000,0.000000,2.775261,-1.727694,3.141593,0.000000,1.100105,3.141593,0.000000,181,106,31,#B56A1F,30.000000,180.000000,0.000000
62,5.184669,3,0,-0.910251,-0.206983,0.358610,21.015,-167.189,0.909961,0.207301,-0.359161,-21.049,12.834,-0.989859,-0.071011,0.123031,0.909961,0.207301,-0.359161,671.134,264460.188,24492.971,101.743,264384.562,24624.025,16.000000,2.795833,0.000000,2.796167,-1.713099,3.141593,0.000000,1.143890,3.141593,0.000000,179,102,28,#B3661C,30.000000,180.000000,0.000000
63,5.268292,3,0,-0.927502,-0.186867,0.323759,18.890,-168.609,0.927184,0.187262,-0.324443,-18.932,11.418,-0.991820,-0.063807,0.110549,0.927184,0.187262,-0.324443,671.821,264457.688,24497.340,97.524,264389.469,24615.520,16.000000,2.816667,0.000000,2.817073,-1.698503,3.141593,0.000000,1.187675,3.141593,0.000000,177,99,25,#B16319,30.000000,180.000000,0.000000
64,5.351916,3,0,-0.942976,-0.166394,0.288287,16.755,-169.993,0.942641,0.166867,-0.289106,-16.804,10.039,-0.993572,-0.056589,0.098044,0.942641,0.166867,-0.289106,672.434,264455.156,24501.715,93.736,264394.469,24606.863,16.000000,2.837500,0.000000,2.837979,-1.683908,3.141593,0.000000,1.231460,3.141593,0.000000,175,95,23,#AF5F17,30.000000,180.000000,0.000000
65,5.435540,3,0,-0.956642,-0.145601,0.252263,14.611,-171.346,0.956305,0.146154,-0.253220,-14.668,8.689,-0.995113,-0.049360,0.085518,0.956305,0.146154,-0.253220,672.973,264452.625,24506.100,90.389,264399.531,24598.070,16.000000,2.858333,0.000000,2.858885,-1.669313,3.141593,0.000000,1.275246,3.141593,0.000000,174,91,20,#AE5B14,30.000000,180.000000,0.000000
