t_hours,hazeR01,hazeG01,hazeB01
10.034843,0.737255,0.796078,0.878431
10.118467,0.737255,0.796078,0.878431
10.202090,0.737255,0.796078,0.878431
10.285714,0.737255,0.796078,0.878431
10.369338,0.737255,0.796078,0.878431
10.452962,0.737255,0.796078,0.878431
10.536585,0.737255,0.796078,0.878431
10.620209,0.737255,0.796078,0.878431
10.703833,0.737255,0.796078,0.878431
10.787457,0.737255,0.796078,0.878431
10.871080,0.737255,0.796078,0.878431
10.954704,0.737255,0.796078,0.878431
11.038327,0.737255,0.796078,0.878431
11.121951,0.737255,0.796078,0.878431
11.205575,0.737255,0.796078,0.878431
11.289199,0.737255,0.796078,0.878431
11.372822,0.737255,0.796078,0.878431
11.456446,0.737255,0.796078,0.878431
11.540070,0.737255,0.796078,0.878431
11.623693,0.737255,0.796078,0.878431
11.707317,0.737255,0.796078,0.878431
11.790941,0.737255,0.796078,0.878431
11.874564,0.737255,0.796078,0.878431
11.958188,0.737255,0.796078,0.878431
12.041813,0.737255,0.796078,0.878431
12.125436,0.737255,0.796078,0.878431
12.209059,0.737255,0.796078,0.878431
12.292683,0.737255,0.796078,0.878431
12.376307,0.737255,0.796078,0.878431
12.459930,0.737255,0.796078,0.878431
12.543554,0.737255,0.796078,0.878431
12.627178,0.737255,0.796078,0.878431
12.710801,0.737255,0.796078,0.878431
12.794424,0.737255,0.796078,0.878431
12.878050,0.737255,0.796078,0.878431
12.961673,0.737255,0.796078,0.878431
13.045296,0.737255,0.796078,0.878431
13.128920,0.737255,0.796078,0.878431
13.212543,0.737255,0.796078,0.878431
13.296167,0.737255,0.796078,0.878431
13.379791,0.737255,0.796078,0.878431
13.463415,0.737255,0.796078,0.878431
13.547038,0.737255,0.796078,0.878431
13.630661,0.737255,0.796078,0.878431
13.714287,0.737255,0.796078,0.878431
13.797910,0.737255,0.796078,0.878431
13.881533,0.737255,0.796078,0.878431
13.965157,0.737255,0.796078,0.878431
14.048780,0.737255,0.796078,0.878431
14.132404,0.737255,0.796078,0.878431
14.216028,0.737255,0.796078,0.878431
14.299652,0.737255,0.796078,0.878431
14.383275,0.737255,0.796078,0.878431
14.466898,0.737255,0.796078,0.878431
14.550524,0.737255,0.796078,0.878431
14.634147,0.737255,0.796078,0.878431
14.717770,0.737255,0.796078,0.878431
14.801394,0.737255,0.796078,0.878431
14.885017,0.737255,0.796078,0.878431
14.968641,0.737255,0.796078,0.878431
15.052265,0.737255,0.796078,0.878431
15.135889,0.737255,0.796078,0.878431
15.219512,0.737255,0.796078,0.878431
15.303135,0.737255,0.796078,0.878431
15.386761,0.737255,0.796078,0.878431
15.470384,0.737255,0.796078,0.878431
15.554007,0.737255,0.796078,0.878431
15.637630,0.737255,0.796078,0.878431
15.721254,0.737255,0.796078,0.878431
15.804878,0.737255,0.796078,0.878431
15.888502,0.737255,0.796078,0.878431
15.972126,0.737255,0.796078,0.878431
16.055748,0.737255,0.796078,0.878431
16.139372,0.737255,0.796078,0.878431
16.222998,0.737255,0.796078,0.878431
16.306622,0.737255,0.796078,0.878431
16.390244,0.737255,0.796078,0.878431
16.473867,0.737255,0.796078,0.878431
16.557491,0.737255,0.796078,0.878431
16.641115,0.737255,0.796078,0.878431
16.724739,0.737255,0.796078,0.878431
16.808363,0.737255,0.796078,0.878431
16.891987,0.737255,0.796078,0.878431
16.975609,0.737255,0.796078,0.878431
17.059235,0.733333,0.792157,0.878431
17.142857,0.733333,0.788235,0.882353
17.226480,0.733333,0.784314,0.886275
17.310104,0.729412,0.776471,0.894118
17.393728,0.729412,0.772549,0.898039
17.477352,0.729412,0.768627,0.901961
17.560976,0.725490,0.764706,0.905882
17.644600,0.725490,0.760784,0.909804
17.728222,0.725490,0.756863,0.913725
17.811846,0.721569,0.752941,0.917647
17.895472,0.721569,0.749020,0.921569
17.979095,0.721569,0.745098,0.925490
18.062717,0.721569,0.745098,0.929412
18.146341,0.721569,0.745098,0.929412
18.229965,0.721569,0.745098,0.929412
18.313587,0.721569,0.745098,0.929412
18.397213,0.721569,0.745098,0.929412
18.480837,0.721569,0.745098,0.929412
18.564461,0.721569,0.745098,0.929412
18.648083,0.721569,0.745098,0.929412
18.731707,0.721569,0.745098,0.929412
18.815331,0.721569,0.745098,0.929412
18.898954,0.721569,0.745098,0.929412
18.982578,0.721569,0.745098,0.929412
19.066202,0.721569,0.745098,0.929412
19.149826,0.721569,0.745098,0.929412
19.233450,0.721569,0.745098,0.929412
19.317074,0.721569,0.745098,0.929412
19.400696,0.721569,0.745098,0.929412
19.484320,0.721569,0.745098,0.929412
19.567944,0.721569,0.745098,0.929412
19.651569,0.721569,0.745098,0.929412
19.735191,0.721569,0.745098,0.929412
19.818815,0.721569,0.745098,0.929412
19.902439,0.721569,0.745098,0.929412
19.986061,0.721569,0.745098,0.929412
20.069687,0.721569,0.745098,0.929412
20.153311,0.721569,0.745098,0.929412
20.236935,0.721569,0.745098,0.929412
20.320557,0.721569,0.745098,0.929412
20.404181,0.721569,0.745098,0.929412
20.487804,0.721569,0.745098,0.929412
20.571428,0.721569,0.745098,0.929412
20.655052,0.721569,0.745098,0.929412
20.738676,0.721569,0.745098,0.929412
20.822300,0.721569,0.745098,0.929412
20.905924,0.721569,0.745098,0.929412
20.989548,0.721569,0.745098,0.929412
21.073170,0.741176,0.749020,0.905882
21.156794,0.764706,0.752941,0.882353
21.240417,0.788235,0.756863,0.854902
21.324043,0.811765,0.760784,0.831373
21.407665,0.831373,0.764706,0.807843
21.491289,0.854902,0.768627,0.784314
21.574913,0.878431,0.776471,0.756863
21.658535,0.901961,0.780392,0.733333
21.742161,0.925490,0.784314,0.709804
21.825785,0.949020,0.788235,0.686275
21.909409,0.972549,0.792157,0.658824
21.993031,0.996078,0.796078,0.635294
22.076654,1.000000,0.788235,0.623529
22.160278,1.000000,0.780392,0.611765
22.243902,1.000000,0.772549,0.603922
22.327526,1.000000,0.760784,0.592157
22.411150,1.000000,0.752941,0.580392
22.494774,1.000000,0.745098,0.572549
22.578398,1.000000,0.733333,0.560784
22.662022,1.000000,0.725490,0.549020
22.745644,1.000000,0.717647,0.541176
22.829268,1.000000,0.705882,0.529412
22.912891,1.000000,0.698039,0.517647
22.996517,1.000000,0.690196,0.509804
23.080139,0.933333,0.650980,0.494118
23.163763,0.866667,0.615686,0.478431
23.247387,0.796078,0.576471,0.462745
23.331009,0.729412,0.541176,0.447059
23.414635,0.662745,0.501961,0.431373
23.498259,0.592157,0.466667,0.419608
23.581882,0.525490,0.427451,0.403922
23.665504,0.458824,0.392157,0.388235
23.749128,0.388235,0.352941,0.372549
23.832752,0.321569,0.317647,0.356863
23.916376,0.254902,0.278431,0.341176
