# умение -> визуальный эффект. LineageSkillEffect.u, клиент High Five rev.268 (EN)
# skill_id: поле SkillID класса l2_<id>_skill, оно же skill_visual_effect из skillgrp.dat.
#   у 98 классов поле в дефолтах не задано - там id взят из имени класса.
# phase: массив, в котором лежит запись. attach_on: 0 None 1 Location 2 RH 3 LH 4 RA 5 LA
#   6 Wing 7 BoneSpecified 8 AliasSpecified 9 Trail 10 Agathion; пусто = не задан (дефолт 0).
# пустой effect_class = у записи нет EffectClass (30 таких на весь пакет).
skill_id	phase	effect_class	attach_on	bone	spawn_delay	scale	on_target
6	ShotAction	LineageEffect.at_sonic_blast_fl					
6	ExplosionAction	LineageEffect.at_sonic_blast_ta	9				
7	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
7	ShotAction	LineageEffect.at_sonic_blast_fl					
7	ExplosionAction	LineageEffect.m_u006_d	9				
7	ExplosionAction	LineageEffect.at_sonic_blast_ta	9				
8	CastingAction	LineageEffect.mo_focus_sonic_ca	9				
8	CastingAction	LineageEffect.mo_focus_sonic_ta	9		0.5		
8	CastingAction	LineageEffect.mo_focus_sonic_ca	9				
8	ShotAction	LineageEffect.mo_focus_sonic_ta	9				
9	CastingAction	LineageEffect.s_u010_a	9				
9	ShotAction	LineageEffect.el_flame_strike_ra	9				
9	ShotAction	LineageEffect.el_flame_strike_ta	9				
16	CastingAction	LineageEffect.s_u001_a	2				
16	CastingAction	LineageEffect.RibbonSet	2				
16	ShotAction	LineageEffect.s_u001_b				1	
19	PreshotAction	LineageEffect.s_u003_d	2				
19	CastingAction	LineageEffect.s_u003_a	3				
19	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
19	ShotAction	LineageEffect.s_u003_b	9				
19	ExplosionAction	LineageEffect.p_u004_a	9				
24	PreshotAction	LineageEffect.s_u003_d	2				
24	CastingAction	LineageEffect.s_u003_a	3			1	
24	ShotAction	LineageEffect.s_u003_b	9				
24	ExplosionAction	LineageEffect.m_u006_d	9				
24	ExplosionAction	LineageEffect.m_u006_e	9				
28	CastingAction	LineageEffect.ph_hate_ca	9			1	
28	ShotAction	LineageEffect.ph_hate_ta	8	e_bone			
29	CastingAction	LineageEffect.s_u006_a	2				
29	ShotAction	LineageEffect.s_u006_b	9				
30	CastingAction	LineageEffect.s_u010_b	2				
30	CastingAction	LineageEffect.s_u010_a	9				
30	ShotAction	LineageEffect.p_u004_a	9				
35	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
35	ShotAction	LineageEffect.m_u000_c					
35	ExplosionAction	LineageEffect.m_u006_d	9				
35	ExplosionAction	LineageEffect.m_u006_e	9				
50	CastingAction	LineageEffect.s_u530_focus_force_ca	9				
50	CastingAction	LineageEffect.s_u530_focus_force_ta	9		0.5		
50	CastingAction	LineageEffect.s_u530_focus_force_ca	9				
50	ShotAction	LineageEffect.s_u530_focus_force_ta	9				
54	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
54	CastingAction	LineageEffect.at_sonic_blast_ta	9			1	
54	ShotAction	LineageEffect.m_u006_c					
54	ExplosionAction	LineageEffect.at_sonic_blast_ta	9				
56	PreshotAction	LineageEffect.s_u003_d	2				
56	CastingAction	LineageEffect.s_u003_a	3				
56	ShotAction	LineageEffect.s_u003_b	9				
56	ExplosionAction	LineageEffect.p_u004_a	9				
69	CastingAction	LineageEffect.mo_battle_roar_ca	9				
69	ShotAction	LineageEffect.wh_greater_heal_ta	9				
69	ShotAction	LineageEffect.at_fatal_strike_ta	9				
70	CastingAction	LineageEffect.s_u019_a	9			1	
70	ShotAction	LineageEffect.s_u019_b	9			1	
70	ShotAction	LineageEffect.s_u019_c					
72	CastingAction	LineageEffect.mo_iron_will_ca	9				
72	ShotAction	LineageEffect.mo_iron_will_ta	9				
76	CastingAction	LineageEffect.s_u527_ca	9			1	
76	ShotAction	LineageEffect.s_u527_ta	9			1	
78	CastingAction	LineageEffect.mo_war_cry_ca	9			0.6	
78	CastingAction	LineageEffect.mo_war_cry_ca	9			0.6	
78	ShotAction	LineageEffect.mo_war_cry_ta	9			1	
78	ShotAction	LineageEffect.mo_war_cry_ta	9			1	
81	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
81	ShotAction	LineageEffect.el_flame_strike_ta	9				
82	ShotAction	LineageEffect.mo_majesty_ta	9				
84	CastingAction	LineageEffect.s_u010_a	9				
84	ShotAction	LineageEffect.m_u006_d	9				
84	ShotAction	LineageEffect.m_u006_e	9				
86	CastingAction	LineageEffect.mo_reflect_damage_ca	9			0.5	
86	CastingAction	LineageEffect.mo_reflect_damage_ca	9			1	
86	ShotAction	LineageEffect.mo_reflect_damage_ta	9			0.4	
86	ShotAction	LineageEffect.mo_reflect_damage_ta	9		0.3	0.6	
86	ShotAction	LineageEffect.mo_reflect_damage_ta	9				
92	CastingAction	LineageEffect.at_shield_stun_ca	3				
92	CastingAction	LineageEffect.d_pcasting_pp	9			0.8	
92	CastingAction	LineageEffect.at_stun_attack_ca	3				
92	CastingAction	LineageEffect.d_pcasting_pp	9			0.8	
92	CastingAction	LineageEffect.at_stun_attack_ca	3				
92	CastingAction	LineageEffect.at_stun_attack_ca	2				
92	ShotAction	LineageEffect.at_shield_stun_ta	9				
92	ShotAction	LineageEffect.at_shield_stun_cs	3				
92	ShotAction	LineageEffect.at_stun_attack_ta	9				
92	ShotAction	LineageEffect.at_shield_stun_cs	2				
92	ShotAction	LineageEffect.d_smash_red	9			0.3	
92	ShotAction	LineageEffect.at_stun_attack_ta	9				
92	ShotAction	LineageEffect.at_shield_stun_cs	2				
94	CastingAction	LineageEffect.s_u235_ca	9			1	
94	ShotAction	LineageEffect.s_u235_ta	9			1	
99	CastingAction	LineageEffect.mo_rapid_shot_ca	9				
99	ShotAction	LineageEffect.mo_rapid_shot_ta	9				
100	CastingAction	LineageEffect.at_stun_attack_ca	2				
100	CastingAction	LineageEffect.RibbonSet	2				
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 R Hand		0.5	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 L Hand		0.5	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.5	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 R Hand		0.2	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 L Hand		0.2	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 head		0.2	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.35	
100	CastingAction	LineageEffect.at_stun_attack_ca	2				
100	CastingAction	LineageEffect.RibbonSet	2				
100	CastingAction	LineageEffect.d_pcasting_y	9				
100	CastingAction	LineageEffect.at_stun_attack_ca	2				
100	CastingAction	LineageEffect.RibbonSet	2				
100	CastingAction	LineageEffect.d_pcasting_y	9			0.4	
100	CastingAction	LineageEffect.at_stun_attack_ca	2				
100	CastingAction	LineageEffect.d_pcasting_y	9				
100	CastingAction	LineageEffect.at_stun_attack_ca	2				
100	CastingAction	LineageEffect.RibbonSet	2				
100	CastingAction	LineageEffect.d_pcasting_y	9			0.5	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 head		0.2	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.35	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 head		0.2	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.35	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 R Hand		0.5	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 L Hand		0.5	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.5	
100	CastingAction	LineageEffect.at_stun_attack_ca	2				
100	CastingAction	LineageEffect.RibbonSet	2				
100	CastingAction	LineageEffect.d_pcasting_y	9		1.5	0.6	
100	CastingAction	LineageEffect.s_u225_ca	9			1	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 R Hand		0.2	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.35	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 L Hand		0.2	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 R Hand			
100	CastingAction	LineageEffect.RibbonSet	2				
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 L Hand			
100	CastingAction	LineageEffect.s_u820_ca_web	9			0.7	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 R Hand		0.2	
100	CastingAction	LineageEffect.s_u820_ca_web	9			0.7	
100	CastingAction	LineageEffect.at_stun_attack_ca	9			0.6	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 head		0.2	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.35	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 R Hand		0.5	
100	CastingAction	LineageEffect.at_stun_attack_ca	7	Bip01 L Hand		0.5	
100	CastingAction	LineageEffect.s_u023_lightening_ca	9			0.7	
100	CastingAction	LineageEffect.s_u812_beam_ta	7	Bip01 head		0.2	
100	CastingAction	LineageEffect.d_pcasting_y	9			0.35	
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.6	
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
100	ShotAction	LineageEffect.d_smash_ssec			1	0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9		1	0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
100	ShotAction	LineageEffect.d_smash_ssec			1	0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9		1	0.8	
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
100	ShotAction	LineageEffect.d_smash_ssec			1	0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9		1	0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.6	
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.d_smash_red	9			0.4	
100	ShotAction	LineageEffect.s_u225_ta	9			1.2	
100	ShotAction	LineageEffect.d_smash_red	9		1	0.4	
100	ShotAction	LineageEffect.s_u225_ta	9		1	1.2	
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9				
100	ShotAction	LineageEffect.at_shield_stun_cs	2				
100	ShotAction	LineageEffect.d_smash_ssec				0.8	
100	ShotAction	LineageEffect.at_stun_attack_ta	9			0.8	
101	PreshotAction	LineageEffect.s_u003_d	2				
101	CastingAction	LineageEffect.s_u505_a	3				
101	ShotAction	LineageEffect.s_u003_b	9				
101	ShotAction	LineageEffect.s_u505_b	3				
101	ExplosionAction	LineageEffect.s_u505_c	9			1	
102	CastingAction	LineageEffect.sp_decay_ca	9				
102	ShotAction	LineageEffect.ph_zero_g_ta	9				
105	CastingAction	LineageEffect.at_fatal_strike_ca	9				
105	ShotAction	LineageEffect.el_ice_bolt_ta	9				
110	CastingAction	LineageEffect.mo_ultimate_defence_cs	9			1	
110	CastingAction	LineageEffect.mo_ultimate_defence_cs	9			1	
110	CastingAction	LineageEffect.s_u612_ca_a	10	bip01		0.35	
110	ShotAction	LineageEffect.mo_ultimate_defence_ta	9				
110	ShotAction	LineageEffect.mo_ultimate_defence_ta	9				
116	CastingAction	LineageEffect.ph_howl_ca	9				
116	CastingAction	LineageEffect.ph_howl_ca	9				
116	ShotAction	LineageEffect.ph_howl_ta	9				
116	ShotAction	LineageEffect.ph_howl_ta	9				
120	CastingAction	LineageEffect.s_u010_a	9				
120	ShotAction	LineageEffect.p_u004_a	9				
121	CastingAction	LineageEffect.mo_battle_roar_ca	9				
121	CastingAction	LineageEffect.mo_battle_roar_ca	9				
121	CastingAction	LineageEffect.s_u530_focus_force_ca	9			0.7	
121	CastingAction	LineageEffect.mo_battle_roar_ca	9				
121	ShotAction	LineageEffect.mo_battle_roar_ta	9				
121	ShotAction	LineageEffect.mo_battle_roar_ta	9				
121	ShotAction	LineageEffect.mo_battle_roar_ta	9				
190	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
190	CastingAction	LineageEffect.at_fatal_strike_cs	2				
190	CastingAction	LineageEffect.RibbonSet	2				
190	CastingAction	LineageEffect.RibbonSet	2				
190	ShotAction	LineageEffect.at_fatal_strike_ta	9				
223	CastingAction	LineageEffect.at_sting_ca	2				
223	CastingAction	LineageEffect.RibbonSet	2				
223	ShotAction	LineageEffect.at_sting_ta	9				
223	ShotAction	LineageEffect.at_sting_cs	2				
254	CastingAction	LineageEffect.dw_spoil_ca	2			1	
254	ShotAction	LineageEffect.dw_spoil_ta	9				
260	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
260	CastingAction	LineageEffect.at_stun_attack_ca	2				
260	ShotAction	LineageEffect.at_stun_attack_ta	9				
260	ShotAction	LineageEffect.at_shield_stun_cs	2				
261	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
261	CastingAction	LineageEffect.s_u010_b	2				
261	CastingAction	LineageEffect.s_u010_b	3				
261	ShotAction	LineageEffect.s_u015_b	9				
263	CastingAction	LineageEffect.at_mortal_blow_ca	2				
263	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
263	ShotAction	LineageEffect.s_u234_sting	9				
263	ShotAction	LineageEffect.at_fatal_strike_ta	9				
264	CastingAction	LineageEffect.ph_song_of_earth_ta	9				
265	CastingAction	LineageEffect.ph_song_of_life_ta	9				
266	CastingAction	LineageEffect.s_u009_a	9				
267	CastingAction	LineageEffect.ph_song_of_warding_ta	9				
267	CastingAction	LineageEffect.ph_song_of_warding_ta	9				
268	CastingAction	LineageEffect.ph_song_of_wind_ta	9				
269	CastingAction	LineageEffect.ph_song_of_hunter_ta	9				
270	CastingAction	LineageEffect.ph_song_of_invocation_ta	9				
271	CastingAction	LineageEffect.ph_dance_of_warrior_ta	9				
272	CastingAction	LineageEffect.ph_dance_of_inspiration_ta	9				
272	CastingAction	LineageEffect.s_u012_a	9				
273	CastingAction	LineageEffect.ph_dance_of_mystic_ta	9				
273	CastingAction	LineageEffect.ph_dance_of_mystic_ta	9				
274	CastingAction	LineageEffect.ph_dance_of_fire_ta	9				
275	CastingAction	LineageEffect.ph_dance_of_fury_ta	9				
276	CastingAction	LineageEffect.ph_dance_of_concentration_ta	9				
277	CastingAction	LineageEffect.ph_dance_of_light_ta	9				
279	CastingAction	LineageEffect.s_u023_lightening_ca	9			1	
279	CastingAction	LineageEffect.s_u023_lightening_ca	9			1	
279	CastingAction	LineageEffect.s_u815_bowgun_ca	9				
279	CastingAction	LineageEffect.s_u023_lightening_ca	9			1	
279	CastingAction	LineageEffect.s_u023_lightening_ta	9		0.8		
279	ShotAction	LineageEffect.s_u023_lightening_ta	9				
279	ShotAction	LineageEffect.s_u023_lightening_ta	9				
279	ShotAction	LineageEffect.d_smoke_darkb	9			1	
281	CastingAction	LineageEffect.s_u526_ca	9			1	
281	ShotAction	LineageEffect.at_fatal_strike_ta	9				
284	CastingAction	LineageEffect.s_u010_a	9			1	
284	ShotAction	LineageEffect.p_u004_a	9				
289	CastingAction	LineageEffect.s_u020_a	9			1	
289	ShotAction	LineageEffect.s_u020_b	9			1	
289	ShotAction	LineageEffect.s_u020_c					
289	ShotAction	LineageEffect.s_u020_c					
307	CastingAction	LineageEffect.s_u012_a	9				
314	PreshotAction	LineageEffect.s_u003_d	2				
314	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
314	ShotAction	LineageEffect.s_u003_b	9				
314	ExplosionAction	LineageEffect.p_u004_a	9			1	
315	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
315	ShotAction	LineageEffect.s_u231_ta	9				
323	CastingAction	LineageEffect.su_summon_a_ca	9				
325	CastingAction	LineageEffect.at_fatal_strike_ca	9				
325	ShotAction	LineageEffect.at_fatal_strike_ta	9				
327	CastingAction	LineageEffect.su_empower_ta	8	soulshot1			
342	CastingAction	LineageEffect.bl_berserker_spirit_ca	9			1	
342	CastingAction	LineageEffect.s_u020_a	9			0.7	
342	CastingAction	LineageEffect.s_u820_magic_ca	9			0.8	
342	ShotAction	LineageEffect.at_shock_blast_ta	9				
342	ShotAction	LineageEffect.at_shock_blast_ta	9			0.6	
342	ShotAction	LineageEffect.at_shock_blast_ta	9			0.6	
343	PreshotAction	LineageEffect.s_u003_d	2				
343	PreshotAction	LineageEffect.s_u509_d	9				
343	CastingAction	LineageEffect.s_u509_a	3				
343	ShotAction	LineageEffect.s_u509_c	9				
343	ShotAction	LineageEffect.s_u509_b	3				
343	ExplosionAction	LineageEffect.s_u509_e	9				
344	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
344	CastingAction	LineageEffect.at_fatal_strike_cs	2				
344	ShotAction	LineageEffect.at_mortal_blow_cs	9				
344	ShotAction	LineageEffect.at_fatal_strike_ta	9				
345	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
345	ShotAction	LineageEffect.at_sonic_rage_fl					
345	ExplosionAction	LineageEffect.at_sonic_rage_ta	9				
346	CastingAction	LineageEffect.oa_force_rage_ca	9			1	
346	ShotAction	LineageEffect.mo_battle_roar_ta	9				
346	ShotAction	LineageEffect.oa_force_rage_fl					
346	ExplosionAction	LineageEffect.oa_force_rage_ta	9				
348	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
348	CastingAction	LineageEffect.at_fatal_strike_cs	2				
348	ShotAction	LineageEffect.at_fatal_strike_ta	9				
348	ShotAction	LineageEffect.dw_spoil_ta	9				
353	CastingAction	LineageEffect.at_shield_slam_ca	3				
353	ShotAction	LineageEffect.at_shield_stun_cs	3				
353	ShotAction	LineageEffect.at_shield_slam_ta	9				
358	CastingAction	LineageEffect.at_bluff_ca	9				
358	CastingAction	LineageEffect.at_bluff_ca	9				
358	CastingAction	LineageEffect.d_attacked_b	9			0.5	
358	CastingAction	LineageEffect.at_bluff_cs	9				
358	CastingAction	LineageEffect.at_bluff_ta	9		0.5		
358	CastingAction	LineageEffect.s_u204_ta_ms	9		0.5		
358	CastingAction	LineageEffect.at_bluff_ca	9				
358	CastingAction	LineageEffect.d_attacked_b	9			0.5	
358	ShotAction	LineageEffect.at_bluff_cs	9				
358	ShotAction	LineageEffect.at_bluff_ta	9				
358	ShotAction	LineageEffect.at_bluff_cs	9				
358	ShotAction	LineageEffect.at_bluff_ta	9				
358	ShotAction	LineageEffect.s_u204_ta_ms	9				
361	CastingAction	LineageEffect.at_shock_blast_ca	9			1	
361	ShotAction	LineageEffect.at_shock_blast_ra	9				
361	ShotAction	LineageEffect.at_shock_blast_ta	9				
362	CastingAction	LineageEffect.s_u513_a	2				
362	ShotAction	LineageEffect.s_u513_c	9				
362	ShotAction	LineageEffect.s_u513_b	2				
363	CastingAction	LineageEffect.ph_song_of_meditation_ta	9		1		
367	CastingAction	LineageEffect.ph_dance_of_medusa_ta	9		1		
368	CastingAction	LineageEffect.mo_vengence_ca	9				
368	ShotAction	LineageEffect.mo_vengence_ra	9				
368	ShotAction	LineageEffect.ph_hate_ta	7	e_bone			
369	PreshotAction	LineageEffect.s_u003_d	2				
369	CastingAction	LineageEffect.s_u010_a	9				
369	ShotAction	LineageEffect.s_u003_b	9				
369	ExplosionAction	LineageEffect.sp_agility_ta	9				
369	ExplosionAction	LineageEffect.p_u004_a	9				
395	CastingAction	LineageEffect.su_empower_ca	9			1	
395	ShotAction	LineageEffect.su_empower_ta	9				
396	CastingAction	LineageEffect.mo_dash_ca	9			1	
396	ShotAction	LineageEffect.bl_berserker_spirit_ta	9				
401	CastingAction	LineageEffect.at_sting_ca	2				
401	CastingAction	LineageEffect.at_sting_cs	2				
401	CastingAction	LineageEffect.at_fatal_strike_ca	9			1	
401	ShotAction	LineageEffect.at_sting_ta	9				
426	CastingAction	LineageEffect.s_u806_ca	9				
426	CastingAction	LineageEffect.s_u806_cs	9				
426	ChannelingAction	LineageEffect.s_u806_ta	9				
427	CastingAction	LineageEffect.s_u806_ca	9			1	
427	ChannelingAction	LineageEffect.s_u806_channeling_mesh	9				
427	ChannelingAction	LineageEffect.s_u806_ta	9				
427	ChannelingAction	LineageEffect.s_u806_channeling_beam	9				
438	CastingAction	LineageEffect.wh_heal_ca	9				
438	ShotAction	LineageEffect.s_u608_ta	9				
439	CastingAction	LineageEffect.s_u220_ca	9				
439	ShotAction	LineageEffect.s_u220_barrier	9				
440	CastingAction	LineageEffect.s_u221_ta	9				
440	ShotAction	LineageEffect.s_u221_ca	9				
441	CastingAction	LineageEffect.m_u201_ca	9				
441	ShotAction	LineageEffect.m_u201_ta	9				
442	CastingAction	LineageEffect.s_u804_a_ca	9				
442	ShotAction	LineageEffect.s_u804_a_ta	9				
443	CastingAction	LineageEffect.s_u804_a_ca	9				
443	ShotAction	LineageEffect.s_u220_barrier	9				
445	CastingAction	LineageEffect.s_u209_ca	9				
445	CastingAction	LineageEffect.s_u209_ca	9			0.3	
445	ShotAction	LineageEffect.s_u209_ta	9				
445	ShotAction	LineageEffect.s_u209_ta	9			0.3	
446	CastingAction	LineageEffect.s_u219_ca	9				
446	ShotAction	LineageEffect.s_u219_ta	9				
447	CastingAction	LineageEffect.s_u203_ca	9				
447	ShotAction	LineageEffect.s_u203_ta	9				
454	CastingAction	LineageEffect.s_u807_fighter_ca	9				
454	ShotAction	LineageEffect.s_u807_ta	9				
468	CastingAction	LineageEffect.s_u815_hand	2				
468	CastingAction	LineageEffect.RibbonSet_sword	2				
468	ShotAction	LineageEffect.s_u820_magic_ta	9				
469	CastingAction	LineageEffect.m_u811_short_speed	9				
469	ShotAction	LineageEffect.m_u807_speed_ta_b	9				
477	CastingAction	LineageEffect.s_u815_hand_big	2				
477	CastingAction	LineageEffect.RibbonSet_sword	2				
477	ShotAction	LineageEffect.s_u821_ta	9				
478	CastingAction	LineageEffect.s_u023_lightening_ca	9				
478	CastingAction	LineageEffect.RibbonSet_rapier	9				
478	ShotAction	LineageEffect.s_u819_rapier_ta_a	9				
482	CastingAction	LineageEffect.m_u811_short_tole	9				
482	ShotAction	LineageEffect.m_u807_tolerant_ta_b	9				
483	CastingAction	LineageEffect.s_u020_swordshield_ca	9				
483	ShotAction	LineageEffect.m_u807_power_ta_a	9				
483	ShotAction	LineageEffect.s_u020_swordshield_ta	9				
484	CastingAction	LineageEffect.s_u810_charge_test_a					
484	CastingAction	LineageEffect.s_u810_charge_test_a			0.3		
484	CastingAction	LineageEffect.s_u810_charge_test_a			0.6		
484	CastingAction	LineageEffect.s_u810_charge_test_a			0.9		
484	CastingAction	LineageEffect.s_u810_charge_test_a			1.05		
484	CastingAction	LineageEffect.s_u810_charge_test_a					
484	CastingAction	LineageEffect.s_u810_charge_test_a			0.3		
484	CastingAction	LineageEffect.s_u810_charge_test_a			0.6		
484	CastingAction	LineageEffect.s_u810_charge_test_a			0.9		
484	CastingAction	LineageEffect.s_u810_charge_test_a			1.05		
484	CastingAction	LineageEffect.at_sonic_rage_ta	9				
485	CastingAction	LineageEffect.m_u811_short_debuff	9			1	
485	CastingAction	LineageEffect.m_u811_short_debuff	9			1	
485	CastingAction	LineageEffect.m_u811_short_debuff	9			1	
485	ShotAction	LineageEffect.m_u808_power_ta_a	9			1	
485	ShotAction	LineageEffect.m_u808_power_ta_a	9			1	
485	ShotAction	LineageEffect.m_u808_power_ta_a	9			1	
487	PreshotAction	LineageEffect.bone_bolt	4				
487	CastingAction	LineageEffect.s_u815_hand_holy	2				
487	ShotAction	LineageEffect.s_u814_arrow_test	9				
487	ExplosionAction	LineageEffect.s_u820_magic_ta_b	9				
489	CastingAction	LineageEffect.m_u811_short_tole	9				
489	ShotAction	LineageEffect.ph_hate_ta	8	e_bone			
491	CastingAction	LineageEffect.s_u817_craft_ca	9				
491	ShotAction	LineageEffect.s_u817_craft_cs	9			2	
492	CastingAction	LineageEffect.m_u809_spec_ca	9				
492	ShotAction	LineageEffect.s_u236_ra	9				
492	ShotAction	LineageEffect.s_u236_ta	9				
493	CastingAction	LineageEffect.s_u810_charge_test_b					
493	CastingAction	LineageEffect.s_u810_charge_test_b			0.2		
493	CastingAction	LineageEffect.s_u810_charge_test_b			0.35		
